Model,Accuracy,CV_Accuracy,CV_Std
Logistic Regression,0.9521072796934866,0.9514956487879422,0.004436591291083055
SVM,0.9760536398467433,0.9706681654378947,0.003995415336300146
Random Forest,0.8371647509578544,0.8314824610705193,0.011197931635638357
Gradient Boosting,0.9444444444444444,0.9378845652277729,0.006669646875541366
Neural Network,0.9549808429118773,0.951878055858616,0.008965132111290618
CNN,0.9568965435028076,,
